VSF,Count
8.01,744
7.54,743
7.67,743
7.96,743
7.91,739
7.55,737
7.86,737
7.81,732
7.7,726
7.79,726
7.87,725
7.74,724
7.75,724
7.71,723
7.64,719
7.89,717
7.9,714
8,713
7.77,712
7.98,709
8.24,707
7.99,706
7.72,702
8.1,702
7.78,700
8.23,699
7.93,695
7.83,694
8.28,693
8.14,690
7.88,689
7.94,689
7.85,688
8.06,686
7.92,685
7.84,684
8.07,679
8.05,677
8.04,676
8.13,676
8.19,673
8.41,673
8.09,671
8.15,670
8.26,670
8.27,669
8.03,667
7.97,666
7.8,663
8.16,663
8.02,662
7.95,653
8.17,649
8.18,646
8.32,646
8.37,646
8.2,644
8.39,643
8.25,639
8.47,639
8.42,638
8.33,637
8.44,637
8.11,634
8.55,634
8.29,628
8.22,627
8.12,626
8.21,625
8.45,623
8.69,617
8.38,614
8.88,613
8.08,612
8.35,612
8.4,611
8.5,610
8.3,609
8.6,607
8.63,607
8.52,605
8.66,605
8.31,603
8.46,598
8.53,596
8.34,592
8.64,589
8.48,588
8.54,588
8.61,587
8.57,584
8.78,584
8.49,583
8.7,583
8.77,581
8.36,580
8.56,580
8.43,579
8.75,579
8.87,575
8.85,573
8.51,571
8.99,569
8.91,568
8.73,566
8.9,563
8.84,562
8.68,560
8.72,560
8.74,560
8.96,560
8.59,559
9.09,555
8.81,554
8.79,553
8.82,553
8.65,552
9.07,549
9.04,546
8.97,545
9.1,545
8.62,543
9.02,542
9.08,542
9.13,542
9,539
9.06,537
8.94,535
8.58,533
9.14,532
9.28,531
8.71,530
8.95,526
9.27,526
9.26,525
9.21,524
9.01,520
8.89,519
9.05,519
9.25,518
9.34,517
8.98,516
9.16,514
9.2,513
8.93,512
9.11,512
9.03,511
9.24,510
8.8,509
8.86,509
9.22,509
9.39,507
9.19,506
8.83,505
9.69,505
9.23,504
8.76,502
9.18,502
9.43,501
9.17,500
9.15,495
9.56,495
9.3,494
9.42,494
8.67,493
9.5,493
9.49,492
8.92,491
9.32,491
9.33,488
9.38,487
9.55,486
9.58,485
9.36,484
9.35,481
9.54,477
9.9,477
9.52,474
9.4,471
9.48,470
10,468
9.45,468
9.47,467
9.72,466
9.75,466
9.31,465
9.51,464
9.53,462
9.6,462
9.61,462
9.41,461
9.59,460
9.29,459
9.66,458
9.73,458
9.63,457
9.37,455
9.62,455
9.12,454
9.44,453
9.67,453
9.87,453
9.97,452
9.81,451
9.46,448
9.94,447
9.92,446
10.09,443
9.78,443
9.57,442
9.71,440
9.79,440
9.88,439
9.86,435
9.98,435
10.03,434
10.21,434
9.68,434
9.65,433
9.82,433
10.07,432
9.8,428
9.84,428
9.89,428
10.31,425
9.64,424
10.29,423
9.91,423
9.93,423
10.02,421
10.14,421
9.76,421
9.95,420
9.85,417
10.16,414
9.96,412
10.17,410
10.13,409
9.77,408
10.42,404
9.7,404
10.23,403
9.83,400
10.01,399
10.18,399
10.15,398
10.26,398
9.74,398
10.08,397
10.11,397
10.24,396
10.32,396
10.57,396
10.06,395
10.05,393
9.99,392
10.1,390
10.2,390
10.49,388
10.6,385
10.04,384
10.53,384
10.28,382
10.55,382
10.63,382
10.76,380
10.22,379
10.3,379
10.27,378
10.38,378
10.48,378
10.12,377
10.33,376
10.36,376
10.71,376
10.87,376
10.19,375
10.47,374
10.35,373
10.44,373
10.25,371
10.45,371
10.59,371
10.92,371
10.65,370
10.46,369
10.69,368
10.43,366
10.61,366
11.04,366
10.41,364
10.52,364
10.56,362
10.95,361
10.34,359
10.81,359
10.84,359
10.54,357
10.58,357
10.67,357
10.91,357
10.94,357
10.4,356
10.7,356
10.5,355
10.51,354
10.75,353
10.86,353
10.89,353
11.06,353
11.24,353
10.39,352
10.83,352
10.8,351
10.64,350
10.97,350
10.73,349
10.85,348
10.37,346
10.79,346
11.08,346
10.93,345
10.62,344
10.77,344
10.78,341
10.72,339
11.03,339
11.46,339
10.66,337
10.68,337
11,337
11.11,337
10.82,336
10.9,335
10.98,334
10.74,332
10.88,330
11.09,330
11.27,330
11.5,330
11.12,328
11.42,328
11.25,327
11.33,327
11.34,327
11.16,326
11.21,326
11.29,326
10.99,325
11.45,325
11.44,324
11.05,323
11.07,323
11.19,323
11.26,323
11.66,323
11.14,322
11.15,322
11.17,322
11.41,322
11.01,321
11.1,321
11.36,321
11.37,321
11.35,318
11.43,318
11.49,317
11.38,315
11.63,315
11.84,315
11.13,314
11.54,313
11.2,312
11.32,312
11.23,311
11.57,311
11.22,310
11.68,310
11.75,310
11.56,309
11.78,306
11.61,305
11.18,303
11.52,303
11.3,302
11.48,302
11.51,302
11.53,302
11.64,302
10.96,301
11.4,299
11.71,298
11.82,298
11.02,297
11.87,297
12.52,297
11.28,295
11.77,295
11.39,294
11.72,293
11.65,291
11.79,291
11.55,290
11.58,290
11.7,290
11.93,290
12.04,290
12.33,290
12.14,289
11.62,288
11.9,288
12.08,288
11.86,287
12.37,287
11.59,286
11.74,286
11.69,285
11.94,285
11.73,284
12.03,284
12.27,284
11.47,282
11.76,282
11.8,279
11.85,279
12.19,279
12.48,278
12.02,277
11.31,275
11.96,275
12.21,275
12.58,275
12.63,275
11.88,274
12.24,274
11.83,273
12.15,272
11.91,271
12.12,271
12.18,271
12.2,271
11.98,270
12.09,270
12,268
12.07,268
12.65,268
11.89,267
12.26,267
12.47,267
12.44,265
12.3,264
12.7,264
11.81,263
12.01,263
12.34,263
12.56,263
11.97,262
12.32,262
12.36,262
12.49,262
11.6,261
11.92,261
12.17,261
12.41,261
12.53,261
12.84,260
11.99,259
12.25,258
12.42,257
11.67,256
12.06,256
12.11,255
12.77,255
12.05,254
12.35,254
12.4,254
12.54,254
12.51,252
12.61,252
12.74,252
12.76,252
12.13,250
12.23,250
12.75,250
12.81,250
12.28,249
12.29,249
12.31,249
13.21,249
12.22,247
12.71,247
11.95,246
12.1,246
12.8,246
12.96,246
13.07,246
12.46,245
12.6,245
12.68,245
12.69,245
12.91,244
13.02,244
13.24,244
12.45,243
12.55,243
12.73,243
12.38,242
13.46,242
13.48,242
12.89,241
13,240
13.27,240
13.5,240
13.56,239
12.67,238
12.72,238
12.85,238
13.13,238
12.62,237
12.83,237
12.93,237
12.95,237
12.87,236
13.09,235
12.16,234
13.7,234
13.98,234
12.79,232
13.01,232
13.37,232
12.39,231
12.88,231
12.5,230
12.64,229
13.28,228
13.72,228
13.05,227
13.12,226
13.14,226
12.99,225
13.16,225
13.22,225
13.3,225
12.43,224
13.44,224
13.54,224
13.64,224
13.76,224
13.9,224
12.82,223
13.03,223
13.53,223
13.55,223
13.87,223
12.86,222
13.06,222
13.1,221
13.23,221
13.6,221
13.65,221
13.81,221
12.57,220
12.66,220
13.11,220
13.17,219
13.26,219
12.98,218
13.89,218
